10000 0.000000 1.460727
9900 0.000000 2.579897
9800 0.000000 3.834182
9700 0.000000 4.627120
9600 1.000000 5.196373
9500 1.000000 6.168323
9400 1.000000 6.940352
9300 1.000000 7.913441
9200 1.000000 8.702893
9100 2.000000 9.426559
9000 2.000000 10.242836
8900 2.000000 11.020689
8800 2.000000 11.292018
8700 2.000000 12.308304
8600 2.000000 12.880345
8500 2.000000 13.167023
8400 2.000000 15.333779
8300 2.000000 21.381259
8200 2.000000 21.519107
8100 4.000000 24.566236
8000 4.000000 33.774042
7900 4.000000 19.873845
7800 4.000000 20.294456
7700 4.000000 20.850573
7600 4.000000 21.931835
7500 4.000000 22.572300
7400 4.000000 20.555732
7300 4.000000 19.533160
7200 4.000000 19.871089
7100 4.000000 20.159276
7000 4.000000 20.215330
6900 4.000000 20.561768
6800 4.000000 20.821591
6700 4.000000 20.799445
6600 4.000000 20.748052
6500 4.000000 20.981019
6400 4.000000 20.998170
6300 4.000000 21.053463
6200 4.000000 21.009492
6100 4.000000 21.174016
6000 4.000000 21.293500
5900 4.000000 21.259700
5800 4.000000 21.018139
5700 4.000000 20.994298
5600 8.000000 20.939792
5500 8.000000 20.659041
5400 8.000000 20.804379
5300 8.000000 22.068156
5200 8.000000 22.270786
5100 8.000000 20.376530
5000 8.000000 20.049219
4900 8.000000 19.809246
4800 8.000000 19.602574
4700 8.000000 19.269630
4600 8.000000 19.188977
4500 8.000000 18.827413
4400 8.000000 18.734010
4300 8.000000 19.272742
4200 8.000000 21.293729
4100 8.000000 19.345414
4000 8.000000 18.602724
3900 8.000000 17.844121
3800 8.000000 17.094509
3700 8.000000 18.372750
3600 8.000000 17.669590
3500 8.000000 17.400091
3400 8.000000 16.045558
3300 8.000000 15.620914
3200 8.000000 16.047905
3100 8.000000 14.923240
3000 8.000000 14.546633
2900 8.000000 13.985399
2800 8.000000 13.701106
2700 8.000000 13.706412
2600 8.000000 13.321129
2500 8.000000 12.291749
2400 8.000000 11.929154
2300 8.000000 12.536473
2200 8.000000 10.911375
2100 8.000000 11.160078
2000 8.000000 10.081813
1900 8.000000 9.746653
1800 8.000000 9.192804
1700 8.000000 8.527351
1600 8.000000 9.290684
1500 8.000000 8.178471
1400 8.000000 7.111682
1300 8.000000 6.566405
1200 8.000000 6.159139
1100 8.000000 5.515668
1000 8.000000 4.952174
900 8.000000 4.301474
800 8.000000 3.915605
700 8.000000 3.417209
600 8.000000 3.128889
500 8.000000 2.439238
400 8.000000 2.180275
300 8.000000 1.417978
200 8.000000 1.078529
100 8.000000 0.577174
